"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000102628",22.3208246989554,-0.410158121820815,0.470660281449857,-0.87145259114989,0.383507080990781,0.999923589617851
"ENSMUSG00000086053",9.10916635291832,1.10465137674211,0.728264801530721,1.51682653674909,0.129310485243786,0.999923589617851
"ENSMUSG00000102135",0.926454642902279,0.69773710190032,2.59586311346776,0.268788095289134,0.788092754913869,0.999923589617851
"ENSMUSG00000100764",7.14547850630658,-1.32634809150105,0.735125491783584,-1.80424717456475,0.0711925669572852,0.999923589617851
"ENSMUSG00000100635",3.81161746913775,-0.793901727998829,1.14712349992003,-0.692080432537715,0.488886819178708,0.999923589617851
"ENSMUSG00000100480",8.97332824163386,1.21869582557167,0.732170623532451,1.6644970262422,0.0960131448453474,0.999923589617851
"ENSMUSG00000100954",57.9928980393398,0.117029500818284,0.245497945040086,0.476702567914263,0.633573934040255,0.999923589617851
"ENSMUSG00000051285",2331.76232858065,-0.111279131423122,0.111018207758955,-1.00235027811595,0.316174447464246,0.999923589617851
"ENSMUSG00000103509",90.2230810028743,0.464268597183784,0.611119903882007,0.759701319224949,0.447433140021151,0.999923589617851
"ENSMUSG00000048538",1.25957098916847,-3.30208216490619,1.98270426625948,-1.66544361713399,0.095824283594518,0.999923589617851
"ENSMUSG00000097797",96.1244114190917,-0.103098690995183,0.251312487936944,-0.41024101842902,0.681629154001506,0.999923589617851
"ENSMUSG00000026312",363.662797668396,0.0295261555920712,0.174275590755591,0.169422209180627,0.865464555615111,0.999923589617851
"ENSMUSG00000039748",14.2196037239601,-0.612074780140918,0.56319942967817,-1.08678160503585,0.277133339132719,0.999923589617851
"ENSMUSG00000103540",3.91709278202858,0.332132366587534,0.813753110067062,0.408148813784765,0.683164424551448,0.999923589617851
"ENSMUSG00000057363",1660.04833964973,-0.0139157873309837,0.0945199440252059,-0.147225937070728,0.882953688844141,0.999923589617851
"ENSMUSG00000047216",167.261999571166,-0.528855731602841,0.247737828791394,-2.1347395114541,0.0327822936425823,0.999923589617851
"ENSMUSG00000102788",4.80403295041316,0.020971045492063,1.00653311057774,0.0208349285996421,0.983377334787513,0.999923589617851
"ENSMUSG00000102160",6.54134752741268,-0.299754325906609,0.893829959357461,-0.335359452621268,0.737353950826015,0.999923589617851
"ENSMUSG00000101846",1.04173139063479,1.99772129247399,2.18115900383982,0.915898973416017,0.35971988529744,0.999923589617851
"ENSMUSG00000090243",3.74771011722513,0.490844602856891,0.982515063758021,0.499579722451746,0.61737103884337,0.999923589617851
"ENSMUSG00000100701",5.90806697495796,-0.970637301513849,0.644178120802553,-1.50678402474237,0.131866025696652,0.999923589617851
"ENSMUSG00000100555",13.6449990691439,1.68283630133656,0.659084623233792,2.55329322216583,0.0106709618926839,0.999923589617851
"ENSMUSG00000102728",4.30381157232752,0.0946545340094671,0.859562722431651,0.110119403202707,0.912314680208801,0.999923589617851
"ENSMUSG00000038702",356.111102166086,-0.0859178286167831,0.133266829285529,-0.644705280957056,0.519118193399174,0.999923589617851
"ENSMUSG00000101054",3.40241781603128,0.545686925723237,1.05168060842551,0.518871339217897,0.603850465482722,0.999923589617851
"ENSMUSG00000100515",9.19489136376383,-0.15418505687655,0.525180796690581,-0.293584719487355,0.769075253570225,0.999923589617851
"ENSMUSG00000033021",1577.14954782297,-0.0448927489600232,0.113403003903748,-0.395869134102711,0.692201572300289,0.999923589617851
"ENSMUSG00000055214",96.8037607372495,0.00151704325283187,0.182575079760627,0.00830914741935674,0.993370335848217,0.999923589617851
"ENSMUSG00000078184",1.8672536331529,-0.238250306341416,1.40174290940309,-0.169967192088649,0.865035938111017,0.999923589617851
"ENSMUSG00000104363",1.3756883494888,0.316813308138925,2.09899937906572,0.150935398694563,0.880026676236055,0.999923589617851
"ENSMUSG00000104157",4.67029390265081,1.20581011268463,0.855123109604095,1.41010118793643,0.158509806567061,0.999923589617851
"ENSMUSG00000033007",309.766210060376,0.136596688751712,0.167367339752665,0.816149010634776,0.414414915595492,0.999923589617851
"ENSMUSG00000102605",5.71577906925246,0.340806564720587,0.851507942804794,0.400238855785654,0.688980598277598,0.999923589617851
"ENSMUSG00000070695",573.480798841095,0.121776657883353,0.135010084605575,0.901981938898253,0.367066462094154,0.999923589617851
"ENSMUSG00000025909",500.491155365749,0.198124452252224,0.146447403089606,1.35287105180689,0.176096828889575,0.999923589617851
"ENSMUSG00000102647",2.1374534671381,0.799285679404002,1.71614684682492,0.465744339351134,0.641398510624429,0.999923589617851
"ENSMUSG00000086235",1.54714596345145,-1.02068799386866,1.83100403352865,-0.557447157503867,0.577221953417072,0.999923589617851
"ENSMUSG00000102253",5.45323408464091,1.47010854314288,0.885740541449576,1.659750767123,0.0969646017662258,0.999923589617851
"ENSMUSG00000103884",0.937937553428669,0.642878908814989,2.25155150919195,0.285527071528428,0.775240367139376,0.999923589617851
"ENSMUSG00000066693",3.59124631505486,2.98885462718459,1.40893605509374,2.12135576797752,0.0338918745701093,0.999923589617851
"ENSMUSG00000102316",5.47482278079805,1.17932578209904,1.00883435294907,1.16899843730697,0.242404260978534,0.999923589617851
"ENSMUSG00000103819",1.56192232601084,4.00297186503764,2.1622230467456,1.85132235597182,0.0641231917495665,0.999923589617851
"ENSMUSG00000102871",10.5276395745312,0.804980479005655,0.929425622491567,0.866105323035635,0.386432406368365,0.999923589617851
"ENSMUSG00000103411",1.3107185754698,1.21930319283186,1.71409583642574,0.711338985207719,0.476874198723013,0.999923589617851
"ENSMUSG00000061024",741.680616876751,0.00565695779541789,0.106516558455326,0.0531087173436088,0.95764528582112,0.999923589617851
"ENSMUSG00000023150",3974.76987087079,-0.0714155494236263,0.0831471996793724,-0.85890504670049,0.390392904873082,0.999923589617851
"ENSMUSG00000026374",2209.29849735079,0.00967102921959621,0.0748401110671972,0.129222539647393,0.897181561675726,0.999923589617851
"ENSMUSG00000026377",660.586563808115,-0.0643324179889114,0.113317685643565,-0.56771736577171,0.570226897892237,0.999923589617851
"ENSMUSG00000025911",304.324763187024,-0.255417336964939,0.13307427205205,-1.91935926476484,0.0549388824735623,0.999923589617851
"ENSMUSG00000052748",256.717596620428,-0.118276559364309,0.210459268241564,-0.561992638065014,0.574121035002909,0.999923589617851
"ENSMUSG00000079671",64.7359285256079,0.167672697580373,0.306996547091494,0.546171281628133,0.584948204952513,0.999923589617851
